id;entity_name;metric_name;success_percentage;danger_percentage
1;refinance;instantly now;23594.82;3853.71
2;astride although;who;13006.7;17595.19
3;furthermore notwithstanding;naive;6952.24;4462.6
4;propound whilst;aha rusty eventually;23710.4;1862.83
5;employment whoa potentially;cautiously meanwhile um;32115.86;4812.2
6;different;catapult reborn jealousy;30420.11;24468.09
7;rehash glittering needily;economics anaesthetize physical;25256.27;31757.81
8;above almost yahoo;boxer;30830.12;3563.8
9;gadzooks;or lest azimuth;2595.82;27977.91
10;considering that;jealously obnoxiously cautiously;13804.34;8392.84
